iter	Logloss
0	0.6565326154
1	0.6185627692
2	0.5853760403
3	0.5638165382
4	0.5395650732
5	0.5139157785
6	0.4940582372
7	0.4800303534
8	0.4679573394
9	0.4527356434
10	0.442095585
11	0.4324491074
12	0.4230711238
13	0.4123786987
14	0.4016608942
15	0.3917177019
16	0.386003754
17	0.3797114836
18	0.3717531638
19	0.3653480732
20	0.3594813485
21	0.3536172021
22	0.3488840287
23	0.3426411354
24	0.338031666
25	0.3339692088
26	0.3306056146
27	0.3269229564
28	0.3220108154
29	0.3191065778
30	0.3166235072
31	0.3137405555
32	0.3112844572
33	0.3083718178
34	0.3066887574
35	0.3045818665
36	0.3022339875
37	0.2999598093
38	0.2986736219
39	0.2966296591
40	0.2947041733
41	0.2927827069
42	0.2909094803
43	0.28959901
44	0.2873646958
45	0.2857767037
46	0.2845407418
47	0.2836141603
48	0.2820015037
49	0.280754219
50	0.2797531698
51	0.278749472
52	0.2772601378
53	0.2762425981
54	0.2754566631
55	0.2742113362
56	0.2733197232
57	0.272261912
58	0.2714735097
59	0.270644447
60	0.2698775086
61	0.2693289571
62	0.2687215395
63	0.2681893471
64	0.2675650018
65	0.2656802858
66	0.265266437
67	0.2647059589
68	0.2639419619
69	0.2629147368
70	0.2621964031
71	0.2615779702
72	0.2612558464
73	0.2608892038
74	0.2603946527
75	0.2599675474
76	0.2594964217
77	0.2591552086
78	0.2586524261
79	0.2581218378
80	0.2576640574
81	0.257265134
82	0.2566848703
83	0.2563943347
84	0.2555849465
85	0.2551208555
86	0.2546011232
87	0.2542385463
88	0.2539644716
89	0.2535376311
90	0.2532041827
91	0.2528408094
92	0.2522421529
93	0.2518549209
94	0.251596642
95	0.250327851
96	0.2492298812
97	0.2482795799
98	0.2478001635
99	0.2474501152
100	0.2471259095
101	0.2466254404
102	0.2462342168
103	0.245856998
104	0.2454951769
105	0.2449757798
106	0.2442455065
107	0.2437911769
108	0.2436017127
109	0.2432701183
110	0.2427247083
111	0.2424312906
112	0.2420318411
113	0.2416899094
114	0.2414318288
115	0.2411568112
116	0.2408546379
117	0.2405525998
118	0.2401650955
119	0.2398173033
120	0.2380305524
121	0.2377705214
122	0.2374880949
123	0.2366329433
124	0.2362836711
125	0.2359471646
126	0.2355628017
127	0.2353932028
128	0.2350984348
129	0.2347971543
130	0.2345770762
131	0.2342893059
132	0.2337669526
133	0.2334398796
134	0.2331420146
135	0.2329073112
136	0.2326218915
137	0.2323780027
138	0.2318291161
139	0.2316102437
140	0.2312972015
141	0.2310238436
142	0.2308933474
143	0.2306582068
144	0.2305442382
145	0.2302161242
146	0.2298899162
147	0.2289054854
148	0.2280866082
149	0.2278586524
150	0.2274649468
151	0.2272879685
152	0.2267116298
153	0.2263242884
154	0.2261216862
155	0.2259028472
156	0.2257386588
157	0.225555594
158	0.2253955657
159	0.2252008892
160	0.2249613051
161	0.2247666565
162	0.2245923732
163	0.2244063301
164	0.2242319395
165	0.2238793129
