iter	Passed	Remaining
0	58	58748
1	62	31041
2	66	22236
3	69	17365
4	72	14521
5	76	12685
6	80	11363
7	83	10401
8	87	9608
9	90	8971
10	94	8476
11	97	8043
12	101	7708
13	104	7388
14	108	7156
15	112	6919
16	115	6703
17	121	6622
18	126	6535
19	130	6412
20	134	6255
21	137	6122
22	141	6011
23	145	5929
24	149	5823
25	152	5726
26	157	5680
27	161	5602
28	164	5521
29	170	5497
30	175	5488
31	179	5443
32	184	5413
33	191	5429
34	196	5431
35	202	5419
36	208	5437
37	213	5400
38	218	5393
39	225	5421
40	233	5459
41	239	5465
42	246	5481
43	255	5542
44	259	5513
45	265	5502
46	274	5572
47	280	5564
48	286	5559
49	295	5606
50	299	5580
51	305	5574
52	311	5574
53	317	5559
54	322	5538
55	326	5510
56	331	5487
57	337	5484
58	343	5480
59	350	5487
60	355	5477
61	359	5444
62	364	5425
63	370	5415
64	375	5407
65	381	5394
66	385	5373
67	391	5366
68	397	5356
69	401	5331
70	405	5302
71	409	5276
72	414	5262
73	418	5234
74	422	5210
75	426	5188
76	430	5162
77	434	5140
78	438	5116
79	443	5099
80	448	5083
81	452	5064
82	456	5044
83	461	5031
84	465	5011
85	469	4993
86	474	4978
87	478	4961
88	483	4944
89	487	4928
90	491	4913
91	496	4898
92	500	4883
93	505	4870
94	509	4853
95	513	4836
96	517	4819
97	522	4806
98	526	4793
99	530	4777
100	535	4763
101	539	4750
102	549	4784
103	561	4834
104	574	4898
105	588	4962
106	599	5005
107	630	5204
108	640	5237
109	645	5222
110	649	5203
111	654	5186
112	658	5167
113	662	5148
114	666	5129
115	671	5116
116	675	5100
117	680	5082
118	684	5065
119	689	5057
120	693	5040
121	698	5027
122	703	5014
123	707	4998
124	711	4982
125	715	4966
126	721	4956
127	725	4939
128	729	4924
129	734	4916
130	739	4906
131	744	4893
132	749	4884
133	753	4869
134	757	4855
135	761	4840
136	766	4829
137	771	4818
138	776	4808
139	781	4801
140	787	4799
141	793	4793
142	798	4783
143	802	4770
144	807	4759
145	815	4771
146	824	4784
147	832	4793
148	841	4804
149	850	4818
150	855	4808
151	859	4795
152	864	4785
153	868	4773
154	873	4761
155	878	4751
156	892	4794
157	897	4785
158	902	4772
159	906	4760
160	913	4760
161	917	4747
162	921	4734
163	927	4727
164	931	4714
165	935	4702
166	940	4689
167	945	4681
168	949	4668
169	953	4656
170	958	4648
171	963	4637
172	967	4626
173	972	4615
174	977	4607
175	982	4601
176	987	4590
177	993	4586
178	997	4575
179	1001	4563
180	1007	4557
181	1011	4546
182	1016	4537
183	1020	4526
184	1025	4517
185	1029	4507
186	1034	4497
187	1039	4488
188	1043	4477
189	1047	4467
190	1052	4456
191	1057	4451
192	1062	4440
193	1066	4431
194	1071	4424
195	1076	4414
196	1080	4405
197	1087	4403
198	1096	4413
199	1101	4405
200	1106	4399
201	1111	4390
202	1118	4389
203	1123	4382
204	1127	4373
205	1133	4370
206	1138	4360
207	1142	4350
208	1146	4340
209	1152	4336
210	1157	4326
211	1162	4319
212	1167	4313
213	1171	4304
214	1176	4297
215	1181	4289
216	1186	4282
217	1191	4274
218	1195	4264
219	1200	4257
220	1205	4248
221	1209	4239
222	1214	4233
223	1219	4224
224	1223	4214
225	1227	4204
226	1232	4198
227	1237	4189
228	1241	4179
229	1246	4174
230	1251	4166
231	1255	4156
232	1260	4148
233	1265	4142
234	1276	4153
235	1281	4147
236	1285	4139
237	1289	4129
238	1294	4121
239	1299	4114
240	1303	4105
241	1307	4096
242	1313	4092
243	1317	4083
244	1322	4075
245	1328	4070
246	1332	4061
247	1336	4052
248	1340	4044
249	1345	4037
250	1350	4030
251	1354	4021
252	1360	4016
253	1364	4007
254	1369	3999
255	1374	3995
256	1380	3989
257	1384	3981
258	1389	3974
259	1393	3967
260	1398	3958
261	1402	3951
262	1408	3946
263	1413	3939
264	1417	3932
265	1423	3926
266	1427	3918
267	1431	3909
268	1435	3901
269	1441	3896
270	1445	3888
271	1450	3881
272	1455	3875
273	1459	3868
274	1464	3861
275	1469	3855
